ticker,name,exchange,sector,industry,scalemarketcap,scalerevenue,location
MOS,Mosaic Co,NYSE,Basic Materials,Agricultural Inputs,5 - Large,5 - Large,Florida; U.S.A
MPC,Marathon Petroleum Corp,NYSE,Energy,Oil & Gas Refining & Marketing,5 - Large,5 - Large,Ohio; U.S.A
MRK,Merck & Co Inc,NYSE,Healthcare,Drug Manufacturers - General,6 - Mega,5 - Large,New Jersey; U.S.A
MRO,Marathon Oil Corp,NYSE,Energy,Oil & Gas E&P,5 - Large,5 - Large,Texas; U.S.A
MS,Morgan Stanley,NYSE,Financial Services,Capital Markets,5 - Large,5 - Large,New York; U.S.A
MSCI,MSCI Inc,NYSE,Financial Services,Financial Data & Stock Exchanges,5 - Large,3 - Small,New York; U.S.A
MSFT,Microsoft Corp,NASDAQ,Technology,Software - Infrastructure,6 - Mega,5 - Large,Washington; U.S.A
MSI,Motorola Solutions Inc,NYSE,Technology,Communication Equipment,5 - Large,5 - Large,Illinois; U.S.A
MTB,M&T Bank Corp,NYSE,Financial Services,Banks - Regional,5 - Large,4 - Mid,New York; U.S.A
MTD,Mettler Toledo International Inc,NYSE,Healthcare,Diagnostics & Research,5 - Large,4 - Mid,Ohio; U.S.A
MU,Micron Technology Inc,NASDAQ,Technology,Semiconductors,5 - Large,5 - Large,Idaho; U.S.A
MXIM,Maxim Integrated Products Inc,NASDAQ,Technology,Semiconductors,5 - Large,4 - Mid,California; U.S.A
NCLH,Norwegian Cruise Line Holdings Ltd,NYSE,Industrials,Travel Services,5 - Large,4 - Mid,Florida; U.S.A
NDAQ,Nasdaq Inc,NASDAQ,Financial Services,Financial Data & Stock Exchanges,5 - Large,4 - Mid,New York; U.S.A
NEE,Nextera Energy Inc,NYSE,Utilities,Utilities - Regulated Electric,5 - Large,5 - Large,Florida; U.S.A
NEM,NEWMONT Corp,NYSE,Basic Materials,Gold,5 - Large,5 - Large,Colorado; U.S.A
NFLX,Netflix Inc,NASDAQ,Consumer Cyclical,Entertainment,6 - Mega,5 - Large,California; U.S.A
NI,Nisource Inc,NYSE,Utilities,Utilities - Regulated Gas,5 - Large,5 - Large,Indiana; U.S.A
NKE,NIKE Inc,NYSE,Consumer Cyclical,Footwear & Accessories,6 - Mega,5 - Large,Oregon; U.S.A
NLOK,NortonLifeLock Inc,NASDAQ,Technology,Software - Infrastructure,5 - Large,4 - Mid,Arizona; U.S.A
NLSN,Nielsen Holdings plc,NYSE,Industrials,Consulting Services,5 - Large,4 - Mid,New York; U.S.A
NOC,Northrop Grumman Corp,NYSE,Industrials,Aerospace & Defense,5 - Large,5 - Large,Virginia; U.S.A
NOV,National Oilwell Varco Inc,NYSE,Energy,Oil & Gas Equipment & Services,5 - Large,5 - Large,Texas; U.S.A
NOW,ServiceNow Inc,NYSE,Technology,Software - Application,5 - Large,4 - Mid,California; U.S.A
NRG,Nrg Energy Inc,NYSE,Utilities,Utilities - Independent Power Producers,5 - Large,5 - Large,New Jersey; U.S.A
NSC,Norfolk Southern Corp,NYSE,Industrials,Railroads,5 - Large,5 - Large,Virginia; U.S.A
NTAP,NetApp Inc,NASDAQ,Technology,Computer Hardware,5 - Large,4 - Mid,California; U.S.A
NTRS,Northern Trust Corp,NASDAQ,Financial Services,Asset Management,5 - Large,4 - Mid,Illinois; U.S.A
NUE,Nucor Corp,NYSE,Basic Materials,Steel,5 - Large,5 - Large,North Carolina; U.S.A
NVDA,Nvidia Corp,NASDAQ,Technology,Semiconductors,6 - Mega,5 - Large,California; U.S.A
